,latitude,longitude,vehicle,direction,route
180,33.7331154,-84.2510219,1503,Eastbound,86
181,33.6813216,-84.4128834,2311,Eastbound,78
182,33.6513448,-84.4890908,1809,Eastbound,84
183,33.7063892,-84.1305699,1434,Eastbound,86
184,33.8895378,-84.3815248,7004,Southbound,5
185,33.7181871,-84.2752898,1554,Northbound,15
186,33.9189821,-84.3510447,7006,Northbound,87
187,33.7021149,-84.1741693,1516,Westbound,86
188,33.7544563,-84.2682329,1641,Eastbound,21
189,33.7579806,-84.3876099,1449,Northbound,40
190,33.8348912,-84.3385941,1710,Northbound,39
191,33.6814045,-84.4181686,1827,Westbound,78
192,33.8885319,-84.3043511,1413,Northbound,19
193,33.8148174,-84.3500906,1430,Northbound,6
194,33.7532432,-84.2325449,1547,Westbound,107
195,33.6893312,-84.5072806,1872,Westbound,83
196,33.8595084,-84.3101141,7062,Northbound,39
197,33.7623112,-84.5084501,1679,Northbound,73
198,33.8781628,-84.4690689,1565,Northbound,12
199,33.9189535,-84.3651049,7010,Southbound,87
200,33.7397621,-84.3575962,1523,Westbound,107
201,33.8148461,-84.3666763,1575,Southbound,5
202,33.6892752,-84.390582,1842,Northbound,178
203,33.7880867,-84.470455,1560,Southbound,60
204,33.7417126,-84.1672469,1414,Eastbound,117
205,33.8257798,-84.3525713,1707,Southbound,39
206,33.6989803,-84.0992614,1411,Eastbound,115
207,33.7645374,-84.3492074,1521,Northbound,6
208,33.8133113,-84.3075635,1435,Southbound,19
209,33.714894,-84.2126649,1647,Eastbound,186
210,33.7816777,-84.4845054,1456,Westbound,50
211,33.7597739,-84.1763403,1427,Eastbound,116
212,33.6981288,-84.4081356,1918,Southbound,95
213,33.7064929,-84.4572407,1914,Northbound,81
214,33.724184,-84.1766926,1417,Westbound,115
215,33.7434205,-84.3491659,1633,Westbound,74
216,33.5836287,-84.5498651,1849,Southbound,180
217,33.7526289,-84.4693629,1670,Southbound,73
218,33.8235722,-84.3674593,1685,Northbound,5
219,33.7721968,-84.2518564,7043,Westbound,115
220,33.6500795,-84.4483601,1716,Southbound,196
221,33.7721762,-84.2517604,1426,Eastbound,115
222,33.7174851,-84.4277941,1869,Westbound,83
223,33.7098134,-84.2715319,1415,Westbound,186
224,33.8781888,-84.4680378,1674,Southbound,12
225,33.7033266,-84.3530899,7030,Northbound,49
226,33.5690247,-84.5377931,1877,Northbound,89
227,33.5703875,-84.4026969,1708,Southbound,196
228,33.8860346,-84.2879065,1714,Northbound,39
229,33.7014812,-84.4265903,1931,Northbound,42
230,33.7533569,-84.3915594,1601,Westbound,186
231,33.5683286,-84.4033948,1831,Southbound,89
232,33.740965,-84.3982671,1812,Northbound,49
233,33.5700579,-84.5384615,7023,Southbound,89
234,33.7387531,-84.2874774,1541,Eastbound,107
235,33.7523478,-84.3918999,1457,Southbound,40
236,33.7379987,-84.2543719,1526,Westbound,107
237,33.7761216,-84.2815193,1605,Westbound,120
238,33.7118996,-84.3909767,1951,Southbound,42
239,33.7640347,-84.445787,1447,Westbound,51
240,33.6979262,-84.1568959,1517,Eastbound,117
241,33.740197,-84.347528,1405,Eastbound,107
242,33.8188356,-84.2303871,1504,Eastbound,120
243,33.7814011,-84.3886861,7005,Northbound,12
244,33.7368277,-84.217904,1501,Eastbound,107
245,33.8807791,-84.2911016,1706,Southbound,39
246,33.6513721,-84.2435995,1652,Northbound,15
247,33.7233576,-84.3494752,1548,Southbound,4
248,33.7264118,-84.5903128,1567,Southbound,73
249,33.7763794,-84.280547,1419,Eastbound,117
250,33.9030415,-84.2791484,1549,Eastbound,124
251,33.7405961,-84.3983358,1843,Southbound,49
252,33.8177106,-84.3892257,1664,Southbound,110
253,33.7657942,-84.3973946,1453,Eastbound,26
254,33.7598077,-84.1800741,1535,Westbound,116
255,33.5663106,-84.4130113,7049,Eastbound,186
256,33.7175362,-84.4263379,1870,Eastbound,83
257,33.7349681,-84.1685301,1538,Westbound,117
258,33.7713457,-84.3860443,1412,Westbound,2
259,33.8264243,-84.2565246,1610,Southbound,125
260,33.6523839,-84.4486082,1864,Northbound,180
261,33.6761697,-84.4404721,1949,Westbound,181
262,33.7543675,-84.4814621,1574,Northbound,73
263,33.7025737,-84.3522475,1807,Southbound,49
