,route,stop_id,stop_lat,stop_lon
351,180,190058,33.567914,-84.5799
228,180,166901,33.651937,-84.448465
350,180,190010,33.567689,-84.57986899999999
353,180,906392,33.517396999999995,-84.669803
349,180,182025,33.600120000000004,-84.54930999999999
348,180,176192,33.622183,-84.498728
347,180,176150,33.62203,-84.501747
225,181,165056,33.650967,-84.489267
360,181,213374,33.570364,-84.539278
222,181,165038,33.651052,-84.489408
206,181,146900,33.67657,-84.44046
358,181,190060,33.565931,-84.582549
355,181,176040,33.623367,-84.492067
357,181,183038,33.5852,-84.509475
356,181,183036,33.584340999999995,-84.510192
359,181,213373,33.570761,-84.539411
354,181,176014,33.623397,-84.492189
364,185,212052,34.06862,-84.27785300000001
368,185,906279,34.066277,-84.313118
367,185,903219,34.06095,-84.242611
366,185,902965,34.03909,-84.34285
365,185,212053,34.06884,-84.277165
363,185,211929,34.020433000000004,-84.321221
362,185,210484,34.039564,-84.3428
255,185,902725,33.945415999999994,-84.357235
361,185,140192,34.066190999999996,-84.31213699999999
374,186,213360,33.753479,-84.391745
369,186,130122,33.70983,-84.271528
370,186,130178,33.709758,-84.27144100000001
371,186,210130,33.708745,-84.217605
372,186,211610,33.708807,-84.217192
373,186,211898,33.714890000000004,-84.212757
383,191,212422,33.544686,-84.402876
382,191,212408,33.518449,-84.407478
381,191,212386,33.518269000000004,-84.40787900000001
380,191,212372,33.596272,-84.42899799999999
386,191,212530,33.570524,-84.404821
387,191,213620,33.568244,-84.403549
377,191,212236,33.505604999999996,-84.360157
385,191,212439,33.640531,-84.417144
375,191,212104,33.596971,-84.427925
384,191,212434,33.544686,-84.40273499999999
124,191,136901,33.700649,-84.429541
393,192,212656,33.556289,-84.370558
394,192,213115,33.672625,-84.425381
391,192,212540,33.621103000000005,-84.383278
389,192,212474,33.554225,-84.370745
392,192,212636,33.618656,-84.383386
207,192,146900,33.67657,-84.44046
378,192,212236,33.505604999999996,-84.360157
400,193,213208,33.596507,-84.333985
399,193,212518,33.537878000000006,-84.35114499999999
379,193,212236,33.505604999999996,-84.360157
397,193,212468,33.537842,-84.351372
396,193,212356,33.620385,-84.365205
395,193,212234,33.619803000000005,-84.364172
398,193,212483,33.555512,-84.369745
208,193,146900,33.67657,-84.44046
390,193,212474,33.554225,-84.370745
258,196,166900,33.651267,-84.448559
376,196,212104,33.596971,-84.427925
388,196,213620,33.568244,-84.403549
401,196,212115,33.597156,-84.428614
402,196,212141,33.570972999999995,-84.402804
403,196,212148,33.577984,-84.388634
404,196,212156,33.57784,-84.389448
405,196,212168,33.573786,-84.350014
86,816,102258,33.753505,-84.391973
406,816,213570,33.795873,-84.324616
407,816,900947,33.763878999999996,-84.371375
408,816,901037,33.763985999999996,-84.37177199999999
409,816,902189,33.793048,-84.351589
410,816,902469,33.793463,-84.351585
